,region_name,indicator,year,value
434,Idaho,AAK,1990,16159229.0
435,Idaho,AAL,1990,15962.0
436,Idaho,AAM,1990,14392821.0
437,Idaho,AAN,1990,14217.0
438,Idaho,ABA,1990,
439,Idaho,ABB,1990,275.7
440,Idaho,ABK,1990,
441,Idaho,ABL,1990,
442,Idaho,ABM,1990,
443,Idaho,ABN,1990,
444,Idaho,ABO,1990,
445,Idaho,ABP,1990,
446,Idaho,ABQ,1990,252.078
447,Idaho,ABR,1990,15.6067
448,Idaho,ABS,1990,1.0865
449,Idaho,ABT,1990,
450,Idaho,ABU,1990,
451,Idaho,ABV,1990,220840.0
452,Idaho,ABW,1990,203987.0
453,Idaho,ABX,1990,
454,Idaho,ABY,1990,
455,Idaho,ABZ,1990,11971.0
456,Idaho,ACA,1990,3077.616088
457,Idaho,ACB,1990,
458,Idaho,ACD,1990,
459,Illinois,AAC,1990,
460,Illinois,AAD,1990,
461,Illinois,AAE,1990,
462,Illinois,AAF,1990,6390424.0
463,Illinois,AAH,1990,
464,Illinois,AAI,1990,
465,Illinois,AAQ,1990,30463.0
466,Illinois,AAG,1990,
467,Illinois,AAK,1990,240750225.0
468,Illinois,AAL,1990,21020.0
469,Illinois,AAM,1990,210266564.0
470,Illinois,AAN,1990,18359.0
471,Illinois,ABA,1990,
472,Illinois,ABB,1990,967.4
473,Illinois,ABK,1990,
474,Illinois,ABL,1990,
475,Illinois,ABM,1990,
476,Illinois,ABN,1990,
477,Illinois,ABO,1990,
478,Illinois,ABP,1990,
479,Illinois,ABQ,1990,195.437
480,Illinois,ABR,1990,331.467
481,Illinois,ABS,1990,15.1223
482,Illinois,ABT,1990,
483,Illinois,ABU,1990,
484,Illinois,ABV,1990,1821407.0
485,Illinois,ABW,1990,1587733.0
486,Illinois,ABX,1990,
487,Illinois,ABY,1990,
488,Illinois,ABZ,1990,108119.0
489,Illinois,ACA,1990,5117.669465
490,Illinois,ACB,1990,
491,Illinois,ACD,1990,
492,Indiana,AAC,1990,
493,Indiana,AAD,1990,
494,Indiana,AAE,1990,
495,Indiana,AAF,1990,3069771.0
496,Indiana,AAH,1990,
497,Indiana,AAI,1990,
498,Indiana,AAQ,1990,25960.0
499,Indiana,AAG,1990,
500,Indiana,AAK,1990,98288101.0
501,Indiana,AAL,1990,17685.0
502,Indiana,AAM,1990,86449889.0
503,Indiana,AAN,1990,15555.0
504,Indiana,ABA,1990,
505,Indiana,ABB,1990,473.9
506,Indiana,ABK,1990,
507,Indiana,ABL,1990,
508,Indiana,ABM,1990,
509,Indiana,ABN,1990,
510,Indiana,ABO,1990,
511,Indiana,ABP,1990,
512,Indiana,ABQ,1990,179.136
513,Indiana,ABR,1990,204.487
514,Indiana,ABS,1990,2.393
515,Indiana,ABT,1990,
516,Indiana,ABU,1990,
517,Indiana,ABV,1990,954525.0
518,Indiana,ABW,1990,884568.0
519,Indiana,ABX,1990,
520,Indiana,ABY,1990,
521,Indiana,ABZ,1990,60012.0
522,Indiana,ACA,1990,4606.291079
523,Indiana,ACB,1990,
524,Indiana,ACD,1990,
525,Iowa,AAC,1990,
526,Iowa,AAD,1990,
527,Iowa,AAE,1990,
528,Iowa,AAF,1990,1634995.0
529,Iowa,AAH,1990,
530,Iowa,AAI,1990,
531,Iowa,AAQ,1990,22945.0
532,Iowa,AAG,1990,
533,Iowa,AAK,1990,49067459.0
534,Iowa,AAL,1990,17644.0
535,Iowa,AAM,1990,43432593.0
536,Iowa,AAN,1990,15618.0
537,Iowa,ABA,1990,
538,Iowa,ABB,1990,299.7
539,Iowa,ABK,1990,
540,Iowa,ABL,1990,
541,Iowa,ABM,1990,
542,Iowa,ABN,1990,
543,Iowa,ABO,1990,
544,Iowa,ABP,1990,
545,Iowa,ABQ,1990,234.051
546,Iowa,ABR,1990,83.8182
547,Iowa,ABS,1990,2.6968
548,Iowa,ABT,1990,
549,Iowa,ABU,1990,
550,Iowa,ABV,1990,483652.0
551,Iowa,ABW,1990,450224.0
552,Iowa,ABX,1990,
553,Iowa,ABY,1990,
554,Iowa,ABZ,1990,31796.0
555,Iowa,ACA,1990,4452.766474
556,Iowa,ACB,1990,
557,Iowa,ACD,1990,
558,Kansas,AAC,1990,
559,Kansas,AAD,1990,
560,Kansas,AAE,1990,
561,Kansas,AAF,1990,1473893.0
562,Kansas,AAH,1990,
563,Kansas,AAI,1990,
564,Kansas,AAQ,1990,24430.0
565,Kansas,AAG,1990,
566,Kansas,AAK,1990,45671041.0
567,Kansas,AAL,1990,18406.0
568,Kansas,AAM,1990,40409048.0
569,Kansas,AAN,1990,16285.0
570,Kansas,ABA,1990,
571,Kansas,ABB,1990,447.7
572,Kansas,ABK,1990,
573,Kansas,ABL,1990,
574,Kansas,ABM,1990,
575,Kansas,ABN,1990,
576,Kansas,ABO,1990,
577,Kansas,ABP,1990,
578,Kansas,ABQ,1990,214.641
579,Kansas,ABR,1990,195.297
580,Kansas,ABS,1990,2.9016
581,Kansas,ABT,1990,
582,Kansas,ABU,1990,
583,Kansas,ABV,1990,437034.0
584,Kansas,ABW,1990,388986.0
585,Kansas,ABX,1990,
586,Kansas,ABY,1990,
587,Kansas,ABZ,1990,25367.0
588,Kansas,ACA,1990,4751.590145
589,Kansas,ACB,1990,
590,Kansas,ACD,1990,
591,Kentucky,AAC,1990,
592,Kentucky,AAD,1990,
593,Kentucky,AAE,1990,
594,Kentucky,AAF,1990,1906123.0
595,Kentucky,AAH,1990,
596,Kentucky,AAI,1990,
597,Kentucky,AAQ,1990,24240.0
598,Kentucky,AAG,1990,
599,Kentucky,AAK,1990,57482504.0
600,Kentucky,AAL,1990,15561.0
601,Kentucky,AAM,1990,50742303.0
602,Kentucky,AAN,1990,13736.0
603,Kentucky,ABA,1990,
604,Kentucky,ABB,1990,390.4
605,Kentucky,ABK,1990,
606,Kentucky,ABL,1990,
607,Kentucky,ABM,1990,
608,Kentucky,ABN,1990,
609,Kentucky,ABO,1990,
610,Kentucky,ABP,1990,
611,Kentucky,ABQ,1990,103.897
612,Kentucky,ABR,1990,156.197
613,Kentucky,ABS,1990,3.1673
614,Kentucky,ABT,1990,
615,Kentucky,ABU,1990,
616,Kentucky,ABV,1990,636401.0
617,Kentucky,ABW,1990,569795.0
618,Kentucky,ABX,1990,
619,Kentucky,ABY,1990,
620,Kentucky,ABZ,1990,38005.0
621,Kentucky,ACA,1990,3745.225438
622,Kentucky,ACB,1990,
623,Kentucky,ACD,1990,
624,Louisiana,AAC,1990,
625,Louisiana,AAD,1990,
626,Louisiana,AAE,1990,
627,Louisiana,AAF,1990,2005292.0
628,Louisiana,AAH,1990,
629,Louisiana,AAI,1990,
630,Louisiana,AAQ,1990,24570.0
631,Louisiana,AAG,1990,
632,Louisiana,AAK,1990,64267316.0
633,Louisiana,AAL,1990,15224.0
634,Louisiana,AAM,1990,57961356.0
635,Louisiana,AAN,1990,13730.0
636,Louisiana,ABA,1990,
637,Louisiana,ABB,1990,898.4
638,Louisiana,ABK,1990,
639,Louisiana,ABL,1990,
640,Louisiana,ABM,1990,
641,Louisiana,ABN,1990,
642,Louisiana,ABO,1990,
643,Louisiana,ABP,1990,
644,Louisiana,ABQ,1990,22.2194
645,Louisiana,ABR,1990,312.659
646,Louisiana,ABS,1990,62.9155
647,Louisiana,ABT,1990,
648,Louisiana,ABU,1990,
649,Louisiana,ABV,1990,784757.0
650,Louisiana,ABW,1990,727125.0
651,Louisiana,ABX,1990,
652,Louisiana,ABY,1990,
653,Louisiana,ABZ,1990,36053.0
654,Louisiana,ACA,1990,3903.432283
655,Louisiana,ACB,1990,
656,Louisiana,ACD,1990,
657,Maine,AAC,1990,
658,Maine,AAD,1990,
659,Maine,AAE,1990,
660,Maine,AAF,1990,701002.0
661,Maine,AAH,1990,
662,Maine,AAI,1990,
663,Maine,AAQ,1990,24705.0
664,Maine,AAG,1990,
665,Maine,AAK,1990,21654835.0
666,Maine,AAL,1990,17581.0
667,Maine,AAM,1990,19195084.0
668,Maine,AAN,1990,15584.0
669,Maine,ABA,1990,
670,Maine,ABB,1990,143.2
671,Maine,ABK,1990,
672,Maine,ABL,1990,
673,Maine,ABM,1990,
674,Maine,ABN,1990,
675,Maine,ABO,1990,
676,Maine,ABP,1990,
677,Maine,ABQ,1990,311.272
678,Maine,ABR,1990,16.2375
679,Maine,ABS,1990,0.7307
680,Maine,ABT,1990,
681,Maine,ABU,1990,
682,Maine,ABV,1990,215149.0
683,Maine,ABW,1990,195089.0
684,Maine,ABX,1990,
685,Maine,ABY,1990,
686,Maine,ABZ,1990,13839.0
687,Maine,ACA,1990,5372.904425
688,Maine,ACB,1990,
689,Maine,ACD,1990,
690,Maryland,AAC,1990,
691,Maryland,AAD,1990,
692,Maryland,AAE,1990,
693,Maryland,AAF,1990,2737249.0
694,Maryland,AAH,1990,
695,Maryland,AAI,1990,
696,Maryland,AAQ,1990,29638.0
697,Maryland,AAG,1990,
698,Maryland,AAK,1990,110720316.0
699,Maryland,AAL,1990,23068.0
700,Maryland,AAM,1990,95032067.0
701,Maryland,AAN,1990,19799.0
702,Maryland,ABA,1990,
703,Maryland,ABB,1990,919.0
704,Maryland,ABK,1990,
705,Maryland,ABL,1990,
706,Maryland,ABM,1990,
707,Maryland,ABN,1990,
708,Maryland,ABO,1990,
709,Maryland,ABP,1990,
710,Maryland,ABQ,1990,47.4189
711,Maryland,ABR,1990,487.794
712,Maryland,ABS,1990,24.022
713,Maryland,ABT,1990,
714,Maryland,ABU,1990,
715,Maryland,ABV,1990,715176.0
716,Maryland,ABW,1990,620617.0
717,Maryland,ABX,1990,
718,Maryland,ABY,1990,
719,Maryland,ABZ,1990,41566.0
720,Maryland,ACA,1990,6275.439336
721,Maryland,ACB,1990,
722,Maryland,ACD,1990,
723,Massachusetts,AAC,1990,
724,Massachusetts,AAD,1990,
725,Massachusetts,AAE,1990,
726,Massachusetts,AAF,1990,3614703.0
727,Massachusetts,AAH,1990,
728,Massachusetts,AAI,1990,
729,Massachusetts,AAQ,1990,31645.0
730,Massachusetts,AAG,1990,
731,Massachusetts,AAK,1990,139000167.0
732,Massachusetts,AAL,1990,23080.0
733,Massachusetts,AAM,1990,119408574.0
734,Massachusetts,AAN,1990,19827.0
735,Massachusetts,ABA,1990,
736,Massachusetts,ABB,1990,736.3
737,Massachusetts,ABK,1990,
738,Massachusetts,ABL,1990,
739,Massachusetts,ABM,1990,
740,Massachusetts,ABN,1990,
741,Massachusetts,ABO,1990,
742,Massachusetts,ABP,1990,
743,Massachusetts,ABQ,1990,202.918
744,Massachusetts,ABR,1990,125.161
745,Massachusetts,ABS,1990,11.0583
746,Massachusetts,ABT,1990,
747,Massachusetts,ABU,1990,
748,Massachusetts,ABV,1990,834314.0
749,Massachusetts,ABW,1990,763231.0
750,Massachusetts,ABX,1990,
751,Massachusetts,ABY,1990,
752,Massachusetts,ABZ,1990,55941.0
753,Massachusetts,ACA,1990,6237.155282
754,Massachusetts,ACB,1990,
755,Massachusetts,ACD,1990,
756,Michigan,AAC,1990,
757,Michigan,AAD,1990,
758,Michigan,AAE,1990,
759,Michigan,AAF,1990,4790620.0
760,Michigan,AAH,1990,
761,Michigan,AAI,1990,
762,Michigan,AAQ,1990,30733.0
763,Michigan,AAG,1990,
764,Michigan,AAK,1990,176444356.0
765,Michigan,AAL,1990,18949.0
766,Michigan,AAM,1990,154503769.0
767,Michigan,AAN,1990,16593.0
768,Michigan,ABA,1990,
769,Michigan,ABB,1990,790.4
770,Michigan,ABK,1990,
771,Michigan,ABL,1990,
772,Michigan,ABM,1990,
773,Michigan,ABN,1990,
774,Michigan,ABO,1990,
775,Michigan,ABP,1990,
776,Michigan,ABQ,1990,
777,Michigan,ABR,1990,335.409
778,Michigan,ABS,1990,11.6632
779,Michigan,ABT,1990,
780,Michigan,ABU,1990,
781,Michigan,ABV,1990,1584431.0
782,Michigan,ABW,1990,1446996.0
783,Michigan,ABX,1990,
784,Michigan,ABY,1990,
785,Michigan,ABZ,1990,93807.0
786,Michigan,ACA,1990,5546.40156
787,Michigan,ACB,1990,
788,Michigan,ACD,1990,
789,Minnesota,AAC,1990,
790,Minnesota,AAD,1990,
791,Minnesota,AAE,1990,
792,Minnesota,AAF,1990,2691896.0
793,Minnesota,AAH,1990,
794,Minnesota,AAI,1990,
795,Minnesota,AAQ,1990,27558.0
796,Minnesota,AAG,1990,
797,Minnesota,AAK,1990,86895595.0
798,Minnesota,AAL,1990,19795.0
799,Minnesota,AAM,1990,75512686.0
800,Minnesota,AAN,1990,17202.0
801,Minnesota,ABA,1990,
802,Minnesota,ABB,1990,306.1
803,Minnesota,ABK,1990,
