STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_KNOWN_EXPENDITURE,UNKNOWN_EXPENDITURE,REV_PER_ENROLL
Alabama,1992,720380.0,2678885,304177,1659028,715680,2653798,1481703,735036,145302.05239931354,174053,2536094.0523993135,117703.94760068646,3.7187109581054445
Alaska,1992,117599.95451348182,1049591,106780,720711,222100,972488,498362,350902,36864.7888198758,37451,923579.7888198758,48908.2111801242,8.925096989554307
Arizona,1992,639006.437628787,3258079,297888,1369815,1590376,3401580,1435908,1007732,175921.377739331,609114,3228675.3777393308,172904.62226066925,5.098663813294304
Arkansas,1992,312741.80488538416,1711959,178571,958785,574603,1743022,964323,483488,79056.30753941194,145212,1672079.3075394118,70942.69246058818,5.474033126551185
California,1992,8496892.0,26260025,2072470,16546514,7641041,27138832,14358922,8520926,1615983.7747192774,2044688,26540519.774719276,598312.2252807245,3.090544754481992
Colorado,1992,553584.9211206082,3185173,163253,1307986,1713934,3264826,1642466,1035970,98045.16951390961,364760,3141241.1695139096,123584.83048609039,5.7537206641256295
Connecticut,1992,467024.82887183875,3834302,143542,1342539,2348221,3721338,2148041,1142600,108387.0,48542,3447570.0,273768.0,8.210060285793096
Delaware,1992,108366.0,645233,45945,420942,178346,638784,372722,194915,24399.007712082268,30595,622631.0077120822,16152.992287917761,5.9542015023162245
District of Columbia,1992,81225.02669404517,709480,64749,0,644731,742893,329160,316679,-33761.0,47272,659350.0,83543.0,8.734746282970615
Florida,1992,1930113.639213832,11506299,788420,5683949,5033930,11305642,5166374,3410440,811427.8497920111,1667826,11056067.849792011,249574.15020798892,5.961461939975052
Georgia,1992,493988.0840984555,5536901,398701,2798674,2339526,5535942,3043984,1559059,71534.49159666244,526644,5201221.491596662,334720.50840333756,11.208571984291941
Hawaii,1992,172767.8501790997,996809,71273,903443,22093,1040121,536115,291376,104798.0,126212,1058501.0,-18380.0,5.769644056846563
Idaho,1992,225266.44464609819,859329,69138,531912,258279,886161,473505,246320,36784.99815157114,111353,867962.9981515711,18198.00184842886,3.8147226114836466
Illinois,1992,1839924.3358134925,9748650,597077,3073178,6078395,9850560,5010400,3148849,400222.7810218977,727858,9287329.781021897,563230.2189781033,5.298397227671753
Indiana,1992,951816.4613768961,5060274,257044,2578149,2225081,5182754,2598925,1478639,277334.51649261615,536404,4891302.516492616,291451.4835073836,5.3164388359913595
Iowa,1992,488846.75737704895,2663934,125665,1176205,1362064,2795774,1446478,800570,110603.82660665538,222086,2579737.8266066555,216036.1733933445,5.449425530187776
Kansas,1992,443107.65960152587,2245348,121625,903199,1220524,2234915,1165749,708572,123401.49364042631,157705,2155427.4936404265,79487.50635957345,5.067274174450466
Kentucky,1992,490085.4803896197,2642902,289902,1643109,709891,2518082,1343438,817871,190698.0,136694,2488701.0,29381.0,5.392736789302314
Louisiana,1992,790624.0,3341253,367822,1848734,1124697,3362853,1888349,986486,269672.1597712748,135305,3279812.159771275,83040.84022872522,4.2260960962480265
Maine,1992,211558.0886469672,1206819,73160,511654,622005,1228869,685350,317880,45136.0,97128,1145494.0,83375.0,5.704433272763454
Maryland,1992,728732.3643061817,4658498,228336,1778834,2651328,4698374,2628891,1461083,192559.0,340298,4622831.0,75543.0,6.392604786306295
Massachusetts,1992,849127.6907018442,5517659,273946,1439051,3804662,5245560,2751871,1523068,204458.0,167247,4646644.0,598916.0,6.498032110387772
Michigan,1992,1601512.3298942484,9963137,537917,2539380,6885840,10170688,4681327,3321276,697168.3450446129,825552,9525323.345044613,645364.6549553871,6.221080421315201
Minnesota,1992,754283.1162572233,4684684,194092,2380754,2109838,4981125,2534882,1343203,450373.39092728496,463724,4792182.390927285,188942.60907271504,6.2107766951559915
Mississippi,1992,155296.0,1684706,277706,901199,505801,1691990,956104,445364,12577.88155738241,131795,1545840.8815573824,146149.1184426176,10.848354110859262
Missouri,1992,811463.1410527825,4043682,255194,1903124,1885364,4197600,2168135,1221397,209440.35128345806,474552,4073524.351283458,124075.64871654194,4.983198614238689
Montana,1992,153515.1937332824,828983,69947,337455,421581,781009,412219,241644,92376.0,64263,810502.0,-29493.0,5.400006213328153
Nebraska,1992,278132.2043730477,1542413,85423,492256,964734,1534046,909159,394690,50272.376717865816,132183,1486304.376717866,47741.62328213407,5.54561095676365
Nevada,1992,212029.63788839895,1097076,45018,724032,328026,1251651,572623,334685,39657.54545454547,249189,1196154.5454545454,55496.45454545459,5.174163437365498
New Hampshire,1992,174381.1814019021,1063391,31020,86296,946075,1066647,581123,310285,29384.105891267303,63554,984346.1058912673,82300.8941087327,6.0980834712271355
New Jersey,1992,667026.0,10814689,416063,4504718,5893908,10452340,6042936,2911782,327304.36078578467,474259,9756281.360785784,696058.6392142158,16.213294534246042
New Mexico,1992,289258.1409501375,1330091,161520,990653,177918,1339829,683253,432392,63827.47826590936,139206,1318678.4782659095,21150.521734090522,4.598283718587827
New York,1992,2620662.051549703,21630179,1172030,8697663,11760486,22815611,13288972,6132532,785530.0,1640971,21848005.0,967606.0,8.253707870196084
North Carolina,1992,1098657.9752182495,5236099,389145,3283378,1563576,5418687,2847638,1422278,338078.4834047882,774194,5382188.483404788,36498.51659521181,4.765904510873681
North Dakota,1992,118898.0,559481,51476,242693,265312,553732,315009,152340,46050.04906771344,34904,548303.0490677134,5428.950932286563,4.705554340695386
Ohio,1992,1877549.0,9285961,472604,3631703,5181654,9483822,5172782,2961942,451227.50902661495,742377,9328328.509026615,155493.49097338505,4.94578889818588
Oklahoma,1992,316487.49611687777,2396705,211627,1470516,714562,2515272,1283577,779828,116467.45189688168,194081,2373953.4518968817,141318.54810311832,7.572826823827836
Oregon,1992,499796.67096092924,2773959,163544,788309,1822106,2898210,1556770,967075,84165.49324518535,230464,2838474.4932451854,59735.50675481465,5.550175023508409
Pennsylvania,1992,1720813.7731492072,11257252,658139,4227323,6371790,11539253,6075381,3329224,554534.0,964457,10923596.0,615657.0,6.541818862478336
Rhode Island,1992,131069.25475880038,883073,43545,329810,509718,863404,556787,265279,15848.695121951227,14685,852599.6951219512,10804.304878048832,6.737453429677854
South Carolina,1992,630854.5654327781,2842626,249903,1350148,1242575,2922293,1544232,768292,368927.0,261644,2943095.0,-20802.0,4.50599259442611
South Dakota,1992,108710.31500492198,551668,60671,147834,343163,593126,320561,169697,23906.591930541384,65568,579732.5919305414,13393.408069458557,5.074661038145484
Tennessee,1992,833614.7347064726,3080490,308571,1305381,1466538,3132516,1830264,799825,185848.0,232437,3048374.0,84142.0,3.695340151448599
Texas,1992,3471157.3105870485,16264180,1160185,6706959,8397036,16119084,7961379,4613884,1219147.0,1833239,15627649.0,491435.0,4.685520863717171
Utah,1992,452285.92928112205,1555799,105349,872510,577940,1547980,841552,396073,118539.98473383766,155425,1511589.9847338377,36390.01526616234,3.4398571772348467
Vermont,1992,97909.26056584006,812377,31757,204163,576457,800377,386699,205777,20129.0,25781,638386.0,161991.0,8.297243746966192
Virginia,1992,1025805.4494582899,5631293,313971,2180133,3137189,5744469,2982862,1758078,307284.6506524836,523409,5571633.650652483,172835.3493475169,5.4896306146294975
Washington,1992,879210.3706816724,4870832,263053,3467779,1140000,5360834,2587181,1518521,214890.7208897227,855759,5176351.720889723,184482.27911027707,5.540007445798814
West Virginia,1992,322110.9567307695,1585099,130117,1021803,433179,1587968,835186,465429,116596.4688351358,156015,1573226.468835136,14741.531164864078,4.920972003212159
Wisconsin,1992,822724.8024745788,4993909,217723,2205439,2570747,5181471,2914442,1490415,193569.232497192,416449,5014875.232497192,166595.767502808,6.069962866051197
Wyoming,1992,98557.0,629748,31714,314216,283818,624941,339953,185930,21217.017241379304,60815,607915.0172413792,17025.982758620754,6.389683127530262
Alabama,1993,727716.0,2827391,331409,1729295,766687,2833433,1564558,794146,237222.0,204207,2800133.0,33300.0,3.8852945379791017
Alaska,1993,121156.0,1191398,176150,775829,239419,1126398,494917,433788,36291.0,135791,1100787.0,25611.0,9.833586450526594
Arizona,1993,676297.0,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083.0,680139,3424025.0,199921.0,5.068743466258168
Arkansas,1993,311432.0,1346909,128196,771079,447634,1376067,782791,386526,68617.0,97824,1335758.0,40309.0,4.32488954250045
California,1993,5129788.0,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514.0,1944760,27748980.0,362006.0,5.466763538766124
Colorado,1993,539538.0,3058326,147793,1242337,1668196,3028305,1537714,954032,92163.0,318959,2902868.0,125437.0,5.668416311733372
Connecticut,1993,471918.0,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312.0,186802,3823880.0,256063.0,8.612000389898245
Delaware,1993,104355.0,683954,44497,443250,196207,694534,394680,207850,26548.0,47372,676450.0,18084.0,6.554108571702362
District of Columbia,1993,80937.0,721151,73882,0,647269,719440,339266,302281,39819.0,38074,719440.0,0.0,8.910028787822627
Florida,1993,1980569.0,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220.0,1424334,11166733.0,258450.0,5.740853259846034
Georgia,1993,893557.0,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423.0,439808,4562263.0,85711.0,5.278408652162089
Hawaii,1993,177448.0,1062475,76183,962375,23917,1063090,580597,304362,95700.0,82431,1063090.0,0.0,5.98752874081421
Idaho,1993,231632.0,890835,72747,547454,270634,899819,499914,260805,41238.0,81359,883316.0,16503.0,3.845906437797886
Illinois,1993,1856841.0,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411.0,852085,10151901.0,592794.0,5.700339447480964
Indiana,1993,958052.0,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924.0,477709,5228229.0,440370.0,6.088834426523821
Iowa,1993,493957.0,2880731,131444,1299055,1450232,2889377,1522556,818922,114390.0,196098,2651966.0,237411.0,5.831946910358594
Kansas,1993,451469.0,2386945,123082,1165178,1098685,2522542,1309958,802965,142268.0,195674,2450865.0,71677.0,5.287062899113782
Kentucky,1993,489281.0,2381148,216900,1529326,634922,2283431,1247496,711873,151526.0,127578,2238473.0,44958.0,4.866626744140892
Louisiana,1993,795719.0,3438321,397206,1876967,1164148,3427102,1898515,997974,262609.0,173012,3332110.0,94992.0,4.321024130377683
Maine,1993,211511.0,1368095,77440,652164,638491,1321846,809278,328664,67864.0,55490,1261296.0,60550.0,6.468197871505501
Maryland,1993,751850.0,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147.0,324925,4842481.0,56414.0,6.541211677861275
Massachusetts,1993,862495.0,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641.0,59238,5208931.0,470330.0,7.097562304709013
Michigan,1993,1600650.0,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410.0,932700,10749827.0,681131.0,6.893558241964202
Minnesota,1993,781566.0,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306.0,512196,5062876.0,227628.0,6.221656264474145
Mississippi,1993,329408.0,1170109,174870,612301,382938,1167032,652571,318799,89766.0,87575,1148711.0,18321.0,3.5521572032251796
Missouri,1993,834636.0,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686.0,399553,4107240.0,127605.0,5.028061334521875
Montana,1993,158875.0,813998,74386,445532,294080,833435,446245,261677,64200.0,49720,821842.0,11593.0,5.123512195121951
Nebraska,1993,281354.0,1625242,94308,509432,1021502,1642376,972575,424311,57564.0,141118,1595568.0,46808.0,5.77650220007535
Nevada,1993,222846.0,1148268,52876,753277,342115,1265367,611914,360827,41799.0,195478,1210018.0,55349.0,5.15274225249724
New Hampshire,1993,177722.0,1109743,34680,84342,990721,1091814,611158,322618,34802.0,42172,1010750.0,81064.0,6.244263512677103
New Jersey,1993,653488.0,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775.0,342746,6315197.0,326427.0,10.325464277844429
New Mexico,1993,281407.0,1217194,154018,897725,165451,1223185,587753,427793,62453.0,128202,1206201.0,16984.0,4.325386362101867
New York,1993,2663637.0,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895.0,1625848,23017008.0,917274.0,8.517959842125634
North Carolina,1993,1112636.0,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822.0,480317,5389424.0,85750.0,5.017962747924748
North Dakota,1993,118793.0,580148,56254,243783,280111,588983,310940,156042,44647.0,41585,553214.0,35769.0,4.883688432820116
Ohio,1993,1834239.0,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400.0,588386,10215306.0,169947.0,5.910683395130079
Oklahoma,1993,312817.0,1436505,99809,802783,533913,1428916,726475,457062,113582.0,113949,1411068.0,17848.0,4.592157715213688
Oregon,1993,509814.0,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785.0,209804,3074309.0,74817.0,6.16149615349912
Pennsylvania,1993,1719829.0,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867.0,966827,12129953.0,679114.0,7.1340941454063165
Rhode Island,1993,138939.0,919594,46215,351512,521867,901540,588044,268106,11541.0,12708,880399.0,21141.0,6.618688777089226
South Carolina,1993,631613.0,3031112,277419,1419961,1333732,2994038,1592384,820795,269661.0,221824,2904664.0,89374.0,4.799001920479787
South Dakota,1993,107050.0,465650,52787,120851,292012,481665,265549,139963,22308.0,43632,471452.0,10213.0,4.349836524988323
Tennessee,1993,844668.0,3268642,334410,1535027,1399205,3286481,1969619,781510,209586.0,248037,3208752.0,77729.0,3.869735801522018
Texas,1993,3535333.0,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683.0,2989512,18025813.0,549058.0,5.732756999128512
Utah,1993,462323.0,1638305,116791,928596,592918,1665011,881924,410867,128758.0,207312,1628861.0,36150.0,3.5436372406304684
Vermont,1993,97454.0,837540,34179,216778,586583,809853,405876,193543,22698.0,15655,637772.0,172081.0,8.594208549674718
Virginia,1993,1032842.0,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062.0,488487,5750608.0,204725.0,5.730340168196103
Washington,1993,896197.0,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224.0,942214,5582214.0,209222.0,5.881475836227972
West Virginia,1993,317719.0,1832154,140913,1220263,470978,1829848,1023497,500010,116349.0,171484,1811340.0,18508.0,5.7665861972371815
Wisconsin,1993,829085.0,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368.0,500029,5434950.0,205768.0,6.462479721620823
Wyoming,1993,100313.0,615130,35437,308683,271010,614807,334071,193624,21047.0,48076,596818.0,17989.0,6.132106506634235
Alabama,1994,730004.0,2970223,331823,1850894,787506,3103266,1697593,826442,306977.0,231508,3062520.0,40746.0,4.068776335472134
Alaska,1994,123868.0,1052282,134168,668229,249885,1116160,516242,446458,36589.0,98486,1097775.0,18385.0,8.495188426389383
Arizona,1994,708482.0,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778.0,696618,3586843.0,216536.0,5.0341236615750296
Arkansas,1994,312695.0,1393287,132108,810396,450783,1445984,816270,403608,75434.0,105349,1400661.0,45323.0,4.455738019475847
California,1994,4120498.0,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630.0,1916061,22729901.0,282787.0,5.688837854065213
Colorado,1994,549570.0,3061865,165539,1269532,1626794,3113755,1574164,977343,95796.0,328219,2975522.0,138233.0,5.571383081318121
Connecticut,1994,479522.0,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749.0,53083,3856767.0,275583.0,8.902323563882366
Delaware,1994,103782.0,705798,50572,447430,207796,732323,413915,217782,30320.0,50805,712822.0,19501.0,6.80077470081517
District of Columbia,1994,80678.0,735720,79432,0,656288,769818,351028,332951,63271.0,22568,769818.0,0.0,9.119214655792161
Florida,1994,2039884.0,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855.0,1769738,12233331.0,235742.0,6.037573705171471
Georgia,1994,1235304.0,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376.0,723316,6500758.0,96601.0,5.524300900830888
Hawaii,1994,181212.0,1133949,77993,1025813,30143,1146267,615270,322736,93482.0,114779,1146267.0,0.0,6.257582279319251
Idaho,1994,236774.0,949999,77626,576106,296267,974781,538783,273654,44562.0,99924,956923.0,17858.0,4.012260636725316
Illinois,1994,1875956.0,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271.0,508619,10151767.0,591941.0,6.028821038446531
Indiana,1994,963071.0,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493.0,551285,5572391.0,489044.0,6.356492927312732
Iowa,1994,497925.0,2987394,139312,1339912,1508170,2974072,1551221,858078,120252.0,195410,2724961.0,249111.0,5.999686699804188
Kansas,1994,457744.0,2700587,134686,1540727,1025174,2643192,1371720,856673,156331.0,172340,2557064.0,86128.0,5.899775857247719
Kentucky,1994,490069.0,2491948,238630,1561340,691978,2392549,1310208,761029,145930.0,126669,2343836.0,48713.0,5.084892127435117
Louisiana,1994,798312.0,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613.0,197625,3453706.0,85875.0,4.474270711200633
Maine,1994,211731.0,1357116,77393,609841,669882,1338353,799103,325201,72234.0,73376,1269914.0,68439.0,6.40962353174547
Maryland,1994,772638.0,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041.0,387699,5127916.0,59767.0,6.654481141233022
Massachusetts,1994,877384.0,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810.0,282757,5923012.0,468119.0,7.3066718791316
Michigan,1994,1601845.0,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226.0,877390,11418653.0,605282.0,7.343123710471363
Minnesota,1994,802913.0,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949.0,565106,5320762.0,260378.0,6.554236884942703
Mississippi,1994,503374.0,1911579,296345,1048767,566467,1919812,1072529,515600,148515.0,159184,1895828.0,23984.0,3.7975322523610675
Missouri,1994,852324.0,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316.0,443146,4434458.0,141106.0,5.2660244226374004
Montana,1994,163968.0,878986,83029,446392,349565,878084,508299,271711,36336.0,50333,866679.0,11405.0,5.360716725214676
Nebraska,1994,283962.0,1710913,101579,528743,1080591,1769248,1033858,447649,63108.0,173484,1718099.0,51149.0,6.025147731034434
Nevada,1994,235800.0,1266549,56664,817216,392669,1344245,654272,406932,44739.0,184082,1290025.0,54220.0,5.371284987277353
New Hampshire,1994,181688.0,1145147,37805,89556,1017786,1119762,648513,316069,38919.0,34260,1037761.0,82001.0,6.302821320065167
New Jersey,1994,651554.0,6957898,293378,3102722,3561798,6765105,3522248,2430560,268715.0,320715,6542238.0,222867.0,10.678927609990883
New Mexico,1994,286759.0,1342868,164101,982237,196530,1223759,622138,391385,63549.0,129528,1206600.0,17159.0,4.682914921589209
New York,1994,2702937.0,23933662,1442038,9092275,13399349,25359726,14829280,6782725,992378.0,1717307,24321690.0,1038036.0,8.85468732715561
North Carolina,1994,1131662.0,5648390,454682,3553217,1640491,5740906,3161072,1629603,362721.0,490626,5644022.0,96884.0,4.991234131746052
North Dakota,1994,118778.0,603902,65506,247062,291334,621313,319014,158223,46522.0,50938,574697.0,46616.0,5.084291703850882
Ohio,1994,1816817.0,10735756,537642,4271944,5926170,10780138,5785984,3675789,472696.0,658754,10593223.0,186915.0,5.909101467016216
Oklahoma,1994,316322.0,1518540,120788,839113,558639,1529205,765718,473061,116301.0,129800,1484880.0,44325.0,4.800614563640847
Oregon,1994,518425.0,3088542,212544,1215471,1660527,3191792,1719357,1068111,110201.0,223352,3121021.0,70771.0,5.957548343540531
Pennsylvania,1994,1720681.0,13271564,686113,5132066,7453385,13701725,7100564,3795048,703486.0,963256,12562354.0,1139371.0,7.7129717826837165
Rhode Island,1994,144918.0,1012987,48443,385626,578918,994885,642068,300816,14152.0,14866,971902.0,22983.0,6.990070246622228
South Carolina,1994,634415.0,3179542,285908,1470131,1423503,3156251,1646310,961618,211713.0,251078,3070719.0,85532.0,5.011769898252721
South Dakota,1994,108439.0,507927,51846,126591,329490,525289,284638,148152,23351.0,52745,508886.0,16403.0,4.683988233015797
Tennessee,1994,857014.0,3535898,341912,1694595,1499391,3661470,2101003,996094,225590.0,270608,3593295.0,68175.0,4.125834583799098
Texas,1994,3601627.0,19713604,1456330,8569649,9687625,19224149,9814470,6093204,936331.0,1717181,18561186.0,662963.0,5.473527380819835
Utah,1994,469811.0,1792011,125520,982848,683643,1846448,997141,413388,137271.0,256177,1803977.0,42471.0,3.8143232065660446
Vermont,1994,98377.0,892124,34989,219927,637208,869710,419793,203059,25011.0,38902,686765.0,182945.0,9.068420464132876
Virginia,1994,1044721.0,6125739,372866,2399644,3353229,6276362,3271356,1883438,314439.0,587495,6056728.0,219634.0,5.8635166709580835
Washington,1994,915952.0,5739012,327784,3978265,1432963,5968590,2918426,1741684,252127.0,840257,5752494.0,216096.0,6.265625272940067
West Virginia,1994,313750.0,1854403,147289,1185501,521613,1843973,1051169,507996,116579.0,151404,1827148.0,16825.0,5.91044780876494
Wisconsin,1994,843747.0,5682439,238786,2363863,3079790,5860230,3257526,1689034,193556.0,504767,5644883.0,215347.0,6.734766464354836
Wyoming,1994,100899.0,674921,38849,351472,284600,623146,344562,192234,21161.0,48647,606604.0,16542.0,6.689075213827689
Alabama,1995,727480.0,3367437,328957,2161366,877114,3353363,1851700,888983,326956.0,243365,3311004.0,42359.0,4.6289066366085665
Alaska,1995,125421.0,1117068,123037,710028,284003,1203817,515914,469085,37579.0,159146,1181724.0,22093.0,8.906546750544168
Arizona,1995,735018.0,3815218,376437,1669173,1769608,4056279,1772388,1131046,226507.0,710135,3840076.0,216203.0,5.190645671262472
Arkansas,1995,447757.0,2057550,197556,1244457,615537,2155067,1211057,598109,119934.0,160693,2089793.0,65274.0,4.595238042062994
California,1995,5299405.0,29512214,2612241,15541486,11358487,30097549,16146416,8603751,2181053.0,2669270,29600490.0,497059.0,5.568967459554422
Colorado,1995,639805.0,3709875,201341,1577988,1930546,3766191,1896225,1174299,115636.0,449501,3635661.0,130530.0,5.7984464016379995
Connecticut,1995,489513.0,4420632,147466,1622686,2650480,4252186,2596475,1245242,137005.0,91833,4070555.0,181631.0,9.030673342689571
Delaware,1995,106813.0,802018,51682,510473,239863,772669,431433,236288,35495.0,50074,753290.0,19379.0,7.508617864866636
District of Columbia,1995,80450.0,700111,65527,0,634584,708224,336543,301371,38207.0,32103,708224.0,0.0,8.702436295835923
Florida,1995,2107514.0,13242710,938814,6519109,5784787,13473977,6113051,4077880,951023.0,2070572,13212526.0,261451.0,6.283569172019735
Georgia,1995,1270948.0,7052825,458452,3652134,2942239,7292267,3813194,2009750,442434.0,898969,7164347.0,127920.0,5.549263227134391
Hawaii,1995,183869.0,1173579,82547,1062296,28736,1157159,636952,328579,96922.0,94706,1157159.0,0.0,6.3826909375696825
Idaho,1995,240448.0,1083215,80861,665768,336586,1108075,602038,301143,46107.0,134550,1083838.0,24237.0,4.504986525153048
Illinois,1995,1897161.0,12236673,686758,4100518,7449397,11821661,6031588,3778799,457236.0,1023865,11291488.0,530173.0,6.44999185625258
Indiana,1995,966622.0,6514934,292362,3335998,2886574,6377558,3145120,1760003,290661.0,643725,5839509.0,538049.0,6.7398983263364585
Iowa,1995,498837.0,3076971,141050,1381253,1554668,3100772,1614502,872640,127943.0,209808,2824893.0,275879.0,6.168289441240325
Kansas,1995,460905.0,2826943,137424,1613143,1076376,2756682,1407359,881083,162631.0,177250,2628323.0,128359.0,6.1334613423590545
Kentucky,1995,639992.0,3508673,312742,2218928,977003,3415870,1890546,1112902,211275.0,143259,3357982.0,57888.0,5.482370092126152
Louisiana,1995,797061.0,3791795,449360,1999375,1343060,3735603,2050103,1081590,289366.0,219314,3640373.0,95230.0,4.757220589139351
Maine,1995,212154.0,1446745,78233,652626,715886,1438795,833366,391838,63055.0,70968,1359227.0,79568.0,6.8193152144197136
Maryland,1995,790938.0,5580123,270249,2059219,3250655,5610071,3064702,1768323,253194.0,458731,5544950.0,65121.0,7.0550700560600195
Massachusetts,1995,893727.0,7326904,265878,2095327,4965699,6706082,3681274,1840847,217956.0,259982,6000059.0,706023.0,8.198145518709852
Michigan,1995,1604527.0,12500208,692600,8053624,3753984,12477806,6162390,3915929,947067.0,753611,11778997.0,698809.0,7.79058750647387
Minnesota,1995,816695.0,5744447,235069,2919940,2589438,6155324,3109813,1526879,523268.0,662497,5822457.0,332867.0,7.033772705844899
Mississippi,1995,503301.0,2118973,310290,1185162,623521,2160068,1189394,569686,164815.0,204426,2128321.0,31747.0,4.210150585832335
Missouri,1995,862505.0,4852467,313295,2276277,2262895,4957215,2573557,1449433,262319.0,526263,4811572.0,145643.0,5.626016081066196
Montana,1995,164109.0,911284,89446,449477,372361,899635,523380,281496,36492.0,46881,888249.0,11386.0,5.552919096454186
Nebraska,1995,285836.0,1832463,102783,560994,1168686,1874253,1041372,470308,66223.0,242244,1820147.0,54106.0,6.4108894610895755
Nevada,1995,250749.0,1367710,65007,860823,441880,1381200,705709,438671,48399.0,126131,1318910.0,62290.0,5.454498323024219
New Hampshire,1995,186239.0,1197945,35162,83613,1079170,1232465,676601,347776,40081.0,80404,1144862.0,87603.0,6.4322993572774765
New Jersey,1995,1171658.0,11870183,397612,4369467,7103104,11961696,6065026,4166818,491691.0,719638,11443173.0,518523.0,10.13109883600846
New Mexico,1995,327253.0,1646265,205847,1215392,225026,1540683,774207,494348,79707.0,171166,1519428.0,21255.0,5.030557397487571
New York,1995,2738361.0,25063999,1368074,9932669,13763256,26540967,15693535,6970608,945437.0,1811288,25420868.0,1120099.0,9.152919940066338
North Carolina,1995,1155248.0,6076939,443689,3867404,1765846,6217951,3417870,1737660,387340.0,564673,6107543.0,110408.0,5.260289565530518
North Dakota,1995,119288.0,642234,72116,256507,313611,621904,327382,159739,50761.0,39515,577397.0,44507.0,5.383894440346054
Ohio,1995,1829761.0,11368650,675770,4385097,6307783,11330046,6041768,3905229,510503.0,678965,11136465.0,193581.0,6.213188498388587
Oklahoma,1995,609743.0,3156526,274027,1804537,1077962,3180275,1623941,921572,291242.0,295180,3131935.0,48340.0,5.176813837961239
Oregon,1995,519284.0,3302062,224156,1521849,1556057,3255984,1789292,1060444,112701.0,213860,3176297.0,79687.0,6.3588749123793535
Pennsylvania,1995,1741698.0,13957035,714271,5401558,7841206,14135826,7562476,3908949,550426.0,963078,12984929.0,1150897.0,8.01346444676402
Rhode Island,1995,146609.0,1089859,55060,434056,600743,1056716,677240,308559,27613.0,18871,1032283.0,24433.0,7.433779645178673
South Carolina,1995,638880.0,3389646,288860,1550416,1550370,3286673,1707358,998972,232372.0,262152,3200854.0,85819.0,5.305606686701728
South Dakota,1995,135494.0,684882,65762,179725,439395,693964,380309,199942,30140.0,68754,679145.0,14819.0,5.054703529307571
Tennessee,1995,870594.0,3870164,332765,1855788,1681611,3958973,2245634,1020793,221723.0,394695,3882845.0,76128.0,4.445429212698456
Texas,1995,3670007.0,20483376,1496378,8718907,10268091,20198924,10652067,5778548,1087321.0,2104954,19622890.0,576034.0,5.581290716884191
Utah,1995,472589.0,1953833,134118,1055987,763728,2045331,1069735,435270,143824.0,348647,1997476.0,47855.0,4.134317557116225
Vermont,1995,100317.0,934916,33672,224946,676298,891398,415719,208906,24883.0,36040,685548.0,205850.0,9.31961681469741
Virginia,1995,1060809.0,6354418,368088,2522258,3464072,6590998,3452911,1959389,337469.0,602745,6352514.0,238484.0,5.990162225245072
Washington,1995,938314.0,5985425,345792,4091373,1548260,6200754,3078586,1833862,265076.0,785601,5963125.0,237629.0,6.378914734300031
West Virginia,1995,310231.0,1916605,155738,1210730,550137,1925100,1104307,540560,128462.0,134365,1907694.0,17406.0,6.177993172829279
Wisconsin,1995,865374.0,6006745,248319,2621263,3137163,6056854,3425341,1767790,204052.0,426714,5823897.0,232957.0,6.9412127010980225
