,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
485,Montana,2001,154700.0,1139959,1129098,7484.018937100001,906961.0,32272.0,103670000.0,24316.0,18810.0,
486,Nebraska,2001,285331.0,2355374,2344564,7688.0348721,1719836.0,42227.0,138040000.0,30032.0,65180.0,
487,Nevada,2001,339451.0,2381897,2692840,6150.478032399999,2098399.0,48733.0,,32552.0,77485.0,
488,New Hampshire,2001,204721.0,1757828,1796043,7655.6238501,1255517.0,44540.0,350363000.0,36820.0,16026.0,
489,New Jersey,2001,1301195.0,16854895,17144456,11751.943094,8492671.0,54000.0,1300785000.0,40585.0,240277.0,
490,New Mexico,2001,319524.0,2373143,2315182,6320.2464813999995,1831690.0,37915.0,190673000.0,24613.0,75983.0,
491,New York,2001,2856277.0,34373567,38062603,11886.91307,,55375.0,,,405630.0,
492,North Carolina,2001,1277013.0,9670620,9807815,6817.0621396999995,8210121.999999999,42388.0,723635000.0,27759.0,357050.0,
493,North Dakota,2001,108788.0,818139,814838,6466.9739991999995,639062.0,35939.0,63390000.0,26659.0,13804.0,
494,Ohio,2001,1821546.0,16693845,16282257,8403.4116309,11387403.999999998,41941.0,663376000.0,29237.0,372990.0,
495,Oklahoma,2001,623110.0,4257128,4288405,6458.0559669,3467100.0,35162.0,167222000.0,25355.0,141664.0,
496,Oregon,2001,544756.0,4561948,4715944,8545.0376021,3467937.0,37161.0,322651000.0,28932.0,163201.0,
497,Pennsylvania,2001,1771473.0,17792997,18666522,8847.1066073,12298970.0,42458.0,1389458000.0,31359.0,271426.0,
498,Rhode Island,2001,156275.0,1592622,1504125,10115.623734,1057142.0,41989.0,77998000.0,31679.0,35742.0,
499,South Carolina,2001,676681.0,5437615,5492539,7210.438735899999,4064995.0,35902.0,192070000.0,25527.0,184518.0,
500,South Dakota,2001,127986.0,886661,950595,6581.4610304,757972.0,36327.0,43387000.0,27832.0,14104.0,
501,Tennessee,2001,895839.0,5560822,6165661,6107.5811912,5750789.000000001,38631.0,673465000.0,27653.0,252379.0,
502,Texas,2001,4021535.0,30868844,33201450,7038.5997087,21319622.000000004,44784.0,,29394.0,969948.0,
503,Utah,2001,477380.0,2741771,2669621,5029.2517308999995,2283715.0,38849.0,162754000.0,24797.0,88924.0,
504,Vermont,2001,97715.0,1300273,1306513,9558.5352498,612223.0000000001,37618.0,44606000.0,30505.0,14924.0,
505,Virginia,2001,1143807.0,9493862,9862715,7664.4666689999995,7198361.999999999,48194.0,363757000.0,34064.0,197620.0,
506,Washington,2001,1004843.0,7936037,8026334,7312.0389896,5985722.0,48408.0,,33170.0,281459.0,
507,West Virginia,2001,285785.0,2321731,2310098,8147.976933399999,1801481.0,32263.0,214297000.0,23576.0,37104.0,
508,Wisconsin,2001,875569.0,8363904,8574804,8797.4071325,5406835.0,42078.0,495449000.0,30910.0,164387.0,
509,Wyoming,2001,89711.0,804297,787949,8465.5124395,494657.0,53656.0,,30681.0,16042.0,
510,Alabama,2002,726367.0,5128559,5147821,6327.2278826,4480089.0,34068.0,322636000.0,25485.0,163873.0,
511,Alaska,2002,133010.0,1377767,1523327,10419.202026,642337.0,60101.0,269273000.0,34271.0,22909.0,
512,Arizona,2002,859588.0,6192222,6018188,6469.522083,5396255.0,39323.0,346280000.0,27154.0,312634.0,
513,Arkansas,2002,449161.0,3147921,3087453,6676.3555415,2705927.0,32514.0,176874000.0,24237.0,96788.0,
514,California,2002,6136915.0,54727056,56464225,7439.195031,34871843.0,47880.0,5333036000.0,33901.0,1174687.0,
515,Colorado,2002,741319.0,5849588,6237142,7283.6368972,4490406.0,50870.0,205217000.0,34805.0,165219.0,
516,Connecticut,2002,543829.0,6644334,6475918,11021.798642,3458749.0000000005,61233.0,149454000.0,45017.0,91923.0,
517,Delaware,2002,111331.0,1180255,1246284,9958.9256846,806169.0,67853.0,251643000.0,37850.0,27349.0,
518,District of Columbia,2002,68449.0,1138126,1145684,14556.748775999999,,148686.0,,,,
519,Florida,2002,2500179.0,18541689,19051049,6678.811552800001,16689369.999999998,40254.0,1218864000.0,31319.0,772250.0,
520,Georgia,2002,1470634.0,13042229,12690343,7869.551073199999,8508256.0,44771.0,568080000.0,29930.0,333027.0,
521,Hawaii,2002,184546.0,1889600,1436637,7919.167512399999,1239613.0,44658.0,52640000.0,31399.0,71976.0,
522,Idaho,2002,244937.0,1625444,1666027,6390.9128185,1340372.0,33638.0,76769000.0,26182.0,39207.0,
523,Illinois,2002,2047836.0,19084554,20563001,8967.3644978,12525556.0,48918.0,1383823000.0,34483.0,188034.0,
524,Indiana,2002,994348.0,9273957,9353054,8267.6921984,6155967.0,40969.0,709412000.0,28941.0,181623.0,
525,Iowa,2002,485932.0,4191217,4418238,7713.565997399999,2934234.0000000005,40072.0,88310000.0,28956.0,90224.0,
526,Kansas,2002,470204.0,3823261,3690815,8342.2120144,2713535.0,40169.0,121931000.0,29385.0,89732.0,
527,Kentucky,2002,654363.0,4621025,4541670,7535.704936499999,4089875.0,36161.0,302129000.0,25965.0,55756.0,
528,Louisiana,2002,725027.0,5229238,5298267,7061.3289219,4497267.0,41756.0,264419000.0,25868.0,184622.0,
529,Maine,2002,205344.0,2041986,2057022,9517.1476766,1295960.0,37584.0,77366000.0,29442.0,32889.0,
530,Maryland,2002,860640.0,8430663,8568446,9265.992745200001,5440389.0,47714.0,359420000.0,37792.0,219657.0,
531,Massachusetts,2002,959641.0,11217085,11507438,10808.270134999999,6417206.0,55234.0,812257000.0,39856.0,161617.0,
532,Michigan,2002,1724961.0,18055855,18881772,9428.4141315,10015710.0,41907.0,2065241000.0,30729.0,330493.0,
533,Minnesota,2002,832265.0,8065042,8716123,8050.4535604,5018935.0,47944.0,533901000.0,33754.0,163021.0,
534,Mississippi,2002,492198.0,3029559,3026111,5719.473468,2858680.9999999995,29056.0,195814000.0,23055.0,82958.0,
535,Missouri,2002,909918.0,7455539,7636924,7699.579184199999,5674825.0,41421.0,300459000.0,29162.0,228903.0,
536,Montana,2002,151751.0,1168799,1163960,7860.956563500001,911666.9999999999,32851.0,68173000.0,24928.0,20612.0,
537,Nebraska,2002,283789.0,2528312,2562812,8237.6708547,1728292.0000000002,42746.0,107628000.0,30534.0,65586.0,
538,Nevada,2002,354869.0,2592064,2913023,6477.468760899999,2173791.0,48489.0,,32441.0,83904.0,
539,New Hampshire,2002,203072.0,1887115,1956047,8230.3864433,1269089.0,45311.0,377313000.0,37131.0,18909.0,
540,New Jersey,2002,1326196.0,18071365,18155147,12197.34965,8552643.0,54842.0,1101296000.0,41308.0,227384.0,
541,New Mexico,2002,317548.0,2537261,2542682,6886.2504983,1855309.0,38421.0,124327000.0,25074.0,72907.0,
542,New York,2002,2846068.0,35748163,39585780,12342.921570999999,,55039.0,,,442210.0,
543,North Carolina,2002,1296156.0,9701231,9882399,6970.239276800001,8326200.999999999,42443.0,668124000.0,27777.0,342626.0,
544,North Dakota,2002,105936.0,846759,838666,7112.378494,638168.0,37893.0,49990000.0,27309.0,13777.0,
545,Ohio,2002,1796603.0,17589983,17608944,8927.9200878,11407889.0,42818.0,761050000.0,29577.0,374781.0,
546,Oklahoma,2002,622115.0,4370415,4467944,6671.6940939,3489080.0,35316.0,173701000.0,25697.0,148128.0,
547,Oregon,2002,549604.0,4772603,4980466,8725.0110426,3513424.0000000005,37669.0,196257000.0,28915.0,158448.0,
548,Pennsylvania,2002,1766513.0,18586743,20018554,9195.6498688,12331031.0,42756.0,1198438000.0,31908.0,272339.0,
549,Rhode Island,2002,156624.0,1633707,1600087,10551.538987,1065995.0,43041.0,28273000.0,32730.0,35342.0,
550,South Carolina,2002,674347.0,5627004,5897462,7549.297214,4107795.0,36341.0,159837000.0,25948.0,184733.0,
551,South Dakota,2002,127129.0,930874,981977,6889.531984,760020.0,40062.0,40547000.0,27856.0,14375.0,
552,Tennessee,2002,897695.0,5785857,6363357,6476.2712202,5795918.000000001,39514.0,502977000.0,28090.0,249914.0,
553,Texas,2002,4112315.0,32802734,35668486,7302.2414492,21690325.0,44661.0,,29204.0,1000964.0,
554,Utah,2002,480526.0,2865058,2924051,5294.092044,2324815.0,38764.0,110989000.0,25084.0,97286.0,
555,Vermont,2002,96427.0,1387074,1392880,10228.763257999999,615442.0,38541.0,37306000.0,31089.0,14967.0,
556,Virginia,2002,1162045.0,9914221,10209197,7928.286361399999,7286873.000000001,47962.0,308554000.0,34364.0,204140.0,
557,Washington,2002,1009200.0,8250593,8362656,7625.941889300001,6052349.0,48855.0,,33505.0,281622.0,
558,West Virginia,2002,282145.0,2413744,2427316,8450.7752541,1805414.0,32506.0,220158000.0,24481.0,36526.0,
559,Wisconsin,2002,875216.0,8624767,8863966,9236.9652393,5445161.999999999,42694.0,445016000.0,31538.0,161510.0,
560,Wyoming,2002,87897.0,908719,868607,9320.843614700001,500017.0,53921.0,,31416.0,16300.0,
561,Alabama,2003,727900.0,5196054,5298932,6642.056951,4503491.0,34855.0,242411000.0,26513.0,172698.0,
562,Alaska,2003,133303.0,1425948,1610289,10769.631946,648414.0,59008.0,207075000.0,35591.0,23791.0,
563,Arizona,2003,875111.0,6529894,6210287,6784.0047182,5510364.000000001,40769.0,389406000.0,28166.0,309177.0,
564,Arkansas,2003,450158.0,3241275,3242799,6980.8404633,2724816.0,33678.0,176875000.0,25467.0,88977.0,
565,California,2003,6226552.0,59815855,59749885,7601.4971233999995,35253159.0,49501.0,6803559000.0,35234.0,1208962.0,
566,Colorado,2003,751049.0,6297242,6685029,7826.198734299999,4528732.0,50743.0,199853000.0,35132.0,165256.0,
567,Connecticut,2003,548466.0,6959891,6751815,11301.732737,3484336.0,61419.0,344684000.0,45468.0,85955.0,
568,Delaware,2003,111282.0,1242436,1317447,10257.360306999999,818003.0,67956.0,208283000.0,38187.0,27942.0,
569,District of Columbia,2003,67522.0,1114061,1105963,14735.089571,,152623.0,,,,
570,Florida,2003,2536699.0,19549835,20180142,6921.804184899999,17004085.0,40983.0,1226980000.0,32144.0,757379.0,
571,Georgia,2003,1495819.0,13524807,13516783,8307.513080300001,8622793.0,45453.0,484139000.0,30647.0,346274.0,
572,Hawaii,2003,183829.0,2078877,1602392,8769.8341137,1251154.0,46437.0,30603000.0,32581.0,65867.0,
573,Idaho,2003,248515.0,1685984,1726941,6454.2188829,1363380.0,34034.0,93490000.0,26689.0,39733.0,
574,Illinois,2003,2062664.0,19627346,21278177,9308.5820255,12556006.000000002,49495.0,1293188000.0,34984.0,184806.0,
575,Indiana,2003,999713.0,8246076,9777720,8582.1038391,6196638.000000001,42099.0,729164000.0,29406.0,185379.0,
576,Iowa,2003,482210.0,4374803,4517990,7943.3056283999995,2941999.0000000005,41665.0,140031000.0,29478.0,85155.0,
577,Kansas,2003,470264.0,4068800,3818740,8373.004197600001,2723004.0000000005,40944.0,124519000.0,30147.0,84632.0,
578,Kentucky,2003,660782.0,4872025,4700494,7728.416330399999,4117170.0,36731.0,369572000.0,26483.0,46917.0,
579,Louisiana,2003,723252.0,5478321,5515322,7491.8006146,4521042.0,43275.0,198716000.0,26503.0,178515.0,
580,Maine,2003,203848.0,2162605,2154117,10113.934727,1306513.0,38136.0,91188000.0,30668.0,32055.0,
581,Maryland,2003,866743.0,8700979,8732518,9801.1796706,5496269.0,48471.0,379020000.0,39069.0,209418.0,
582,Massachusetts,2003,967200.0,11591832,11382398,11161.320893,6422565.0,56380.0,1184610000.0,40805.0,159697.0,
583,Michigan,2003,1764327.0,18488359,19680370,9846.5342547,10041152.0,42581.0,1843072000.0,31306.0,325465.0,
584,Minnesota,2003,825674.0,8484497,8938770,8440.138554199999,5053572.0,49769.0,596584000.0,35174.0,147412.0,
585,Mississippi,2003,491623.0,3260771,3205193,6186.261905699999,2868312.0,30139.0,288778000.0,23862.0,81784.0,
586,Missouri,2003,921625.0,7622601,7905481,8001.928173,5709403.0,42043.0,205729000.0,30138.0,233322.0,
587,Montana,2003,149801.0,1205602,1214879,8390.9836478,919630.0,33848.0,44137000.0,26383.0,19965.0,
588,Nebraska,2003,283934.0,2600831,2623966,8550.0235808,1738642.9999999998,44904.0,111597000.0,32253.0,63408.0,
589,Nevada,2003,369498.0,2778564,3009028,6496.2952914,2248850.0,49271.0,,33405.0,96128.0,
590,New Hampshire,2003,203702.0,2028602,2122604,8899.7842685,1279840.0,46621.0,396162000.0,37603.0,18271.0,
591,New Jersey,2003,1350330.0,19785039,19812932,13092.972382,8601402.0,55897.0,2397043000.0,42211.0,219944.0,
592,New Mexico,2003,320264.0,2626262,2658140,7125.8150624,1877573.9999999998,39578.0,101546000.0,25861.0,70582.0,
593,New York,2003,2879228.0,38033080,41603390,13211.192703,,54756.0,,,421205.0,
594,North Carolina,2003,1314632.0,9907235,9989670,7057.4207734,8422501.0,42871.0,898369000.0,28535.0,341055.0,
595,North Dakota,2003,103785.0,882913,895278,7315.2230305,638817.0,40213.0,55989000.0,29616.0,12340.0,
596,Ohio,2003,1803966.0,18018740,18760200,9426.8074848,11434788.0,43445.0,794645000.0,30393.0,363005.0,
597,Oklahoma,2003,624202.0,4426835,4376502,6539.6805955,3504892.0000000005,35780.0,104448000.0,26720.0,151208.0,
598,Oregon,2003,552135.0,4592019,4978764,8513.5848764,3547375.9999999995,38870.0,225501000.0,29832.0,166547.0,
599,Pennsylvania,2003,1757066.0,19811545,20626459,9647.5861648,12374658.000000002,43553.0,1189314000.0,32963.0,269792.0,
600,Rhode Island,2003,157286.0,1728055,1646238,11377.338934000001,1071341.9999999998,44625.0,67118000.0,34272.0,32231.0,
601,South Carolina,2003,691736.0,5709707,6024747,7759.163697600001,4150297.0000000005,37283.0,173886000.0,26575.0,187432.0,
602,South Dakota,2003,127632.0,965778,993823,7192.156601899999,763728.9999999999,40909.0,43976000.0,30278.0,14495.0,
603,Tennessee,2003,905050.0,5994756,6482671,6673.6758228,5847812.0,40463.0,612943000.0,29041.0,256291.0,
604,Texas,2003,4201914.0,35143236,37333674,7714.115870300001,22030931.0,44330.0,,29789.0,1015118.0,
605,Utah,2003,483066.0,2875622,2957874,5247.3745573999995,2360137.0,39094.0,148218000.0,25657.0,96154.0,
606,Vermont,2003,94901.0,1451171,1440961,10902.630346,617858.0000000001,39886.0,41641000.0,32200.0,13522.0,
607,Virginia,2003,1175458.0,10504167,10746679,8299.836806,7366977.0,49191.0,328444000.0,36008.0,196512.0,
608,Washington,2003,1014577.0,8565636,8802387,7882.1353719,6104115.0,49149.0,,34471.0,288744.0,
609,West Virginia,2003,281591.0,2497707,2524444,9025.147896200002,1812295.0,32396.0,182364000.0,24834.0,36715.0,
610,Wisconsin,2003,875390.0,8931497,9128279,9537.6648673,5479203.0,43568.0,526500000.0,32080.0,154878.0,
611,Wyoming,2003,85966.0,962240,915515,9906.4300246,503453.00000000006,54930.0,,33264.0,16331.0,
612,Alabama,2004,730418.0,5356113,5450269,6812.23858157594,4530729.0,36702.0,292051000.0,28371.0,175546.0,
613,Alaska,2004,133153.0,1477152,1647250,11074.338488323601,659286.0,60137.0,339564000.0,36791.0,21605.0,
614,Arizona,2004,895927.0,7117923,6731212,6908.462428219201,5652404.0,41063.0,525650000.0,29978.0,301799.0,
615,Arkansas,2004,453491.0,3385818,3539569,7306.99318797568,2749685.9999999995,34936.0,181830000.0,26807.0,99923.0,
616,California,2004,6284502.0,60162326,62647953,7708.18722460337,35574576.0,51520.0,6925916000.0,37551.0,1223227.0,
617,Colorado,2004,756319.0,6527456,6869975,8415.73865747789,4575013.0,50083.0,239591000.0,35947.0,172467.0,
618,Connecticut,2004,552505.0,7276945,7087023,11754.9681530818,3496094.0,65034.0,379822000.0,47710.0,89898.0,
619,Delaware,2004,111520.0,1334523,1373416,11049.3774769887,830803.0,69500.0,217768000.0,39000.0,27256.0,
620,District of Columbia,2004,65099.0,1081501,1087040,15413.876266666699,,160065.0,,,,
621,Florida,2004,2592997.0,21623923,21896220,7269.02086854187,17415318.0,41736.0,1441338000.0,34063.0,726784.0,
622,Georgia,2004,1522424.0,14136215,13779680,8278.49902528364,8769252.0,46599.0,494701000.0,31856.0,337563.0,
623,Hawaii,2004,183609.0,2138137,1734591,9340.65160755698,1273569.0,48373.0,58119000.0,34511.0,60391.0,
624,Idaho,2004,252037.0,1733838,1744954,6558.5790210675,1391802.0000000002,34665.0,103784000.0,28355.0,38753.0,
625,Illinois,2004,2079027.0,21082441,21681903,9709.541470266999,12589773.000000002,50479.0,1278538000.0,36228.0,177867.0,
626,Indiana,2004,1005587.0,10423578,10312694,9033.23452982034,6233007.0,43143.0,644787000.0,30479.0,192505.0,
627,Iowa,2004,481226.0,4396136,4443289,8016.6660317058095,2953635.0,44605.0,89826000.0,31866.0,83253.0,
628,Kansas,2004,469824.0,4377709,3982036,8804.24927261394,2734373.0,40748.0,166609000.0,30669.0,104853.0,
629,Kentucky,2004,663886.0,5135262,5259909,7975.642805971509,4146100.9999999995,37463.0,381538000.0,27906.0,94056.0,
630,Louisiana,2004,721414.0,5713792,5708535,7846.21866347932,4552238.0,44706.0,236745000.0,27493.0,183263.0,
631,Maine,2004,201594.0,2228749,2291174,10504.4304343652,1313687.9999999998,39089.0,111616000.0,32072.0,31745.0,
632,Maryland,2004,869113.0,9123493,8921938,10139.6111739803,5546935.0,50547.0,569700000.0,41550.0,202326.0,
633,Massachusetts,2004,962488.0,11979937,12033345,11582.5481463766,6412281.0,57699.0,1301076000.0,42856.0,153442.0,
634,Michigan,2004,1738976.0,18663799,20060708,10048.721653762399,10055315.0,42384.0,1841010000.0,32167.0,305434.0,
635,Minnesota,2004,822245.0,8688315,8963393,8934.34263762209,5087713.0,51256.0,637183000.0,37048.0,154552.0,
636,Mississippi,2004,492557.0,3481643,3473928,6601.43827863724,2889010.0,30509.0,243846000.0,25061.0,80936.0,
637,Missouri,2004,914055.0,7893957,7896438,8021.67495353678,5747741.0,42643.0,224366000.0,31586.0,223511.0,
638,Montana,2004,148168.0,1270790,1241417,8770.57191967119,930008.9999999999,34870.0,67723000.0,28128.0,22015.0,
639,Nebraska,2004,284170.0,2734724,2667987,9269.77372173058,1749370.0,45488.0,167429000.0,33444.0,60177.0,
640,Nevada,2004,385414.0,3069531,3228619,6779.69291373155,2346222.0,52310.0,,35679.0,98214.0,
641,New Hampshire,2004,203359.0,2194562,2236010,9390.7641239029,1290121.0,47472.0,407603000.0,39613.0,19872.0,
642,New Jersey,2004,1363189.0,21398391,21467607,13775.990924316398,8634561.0,56261.0,1896998000.0,43907.0,211526.0,
643,New Mexico,2004,323066.0,2855893,2882631,7652.789314128209,1903808.0,41558.0,138196000.0,27182.0,73630.0,
644,New York,2004,2842785.0,40820776,42953568,13925.5676002403,,56259.0,,,414862.0,
645,North Carolina,2004,1325707.0,10569600,10263463,7114.499895591591,8553152.0,43866.0,837085000.0,30611.0,336105.0,
646,North Dakota,2004,101889.0,925393,957480,7790.5941848261,644705.0,40099.0,49807000.0,29775.0,11678.0,
647,Ohio,2004,1797666.0,18878773,19375400,9798.683697405459,11452251.0,44434.0,1060594000.0,31671.0,375794.0,
648,Oklahoma,2004,625826.0,4622080,4400069,6598.89791962078,3525232.9999999995,36634.0,133309000.0,28676.0,149452.0,
649,Oregon,2004,549196.0,5086083,5393871,8639.61765825298,3569462.9999999995,42196.0,320065000.0,31436.0,164732.0,
650,Pennsylvania,2004,1756012.0,21104028,22054811,10393.4948133439,12410722.0,44585.0,1677998000.0,34916.0,277515.0,
651,Rhode Island,2004,156997.0,1836758,1745707,12278.7450414488,1074579.0,46310.0,69479000.0,35757.0,31166.0,
652,South Carolina,2004,696376.0,5961494,6138231,7892.777510027529,4210920.999999999,37124.0,196510000.0,27814.0,190203.0,
653,South Dakota,2004,125156.0,1007135,1012096,7606.68972404866,770396.0000000001,42046.0,47108000.0,32168.0,13654.0,
654,Tennessee,2004,911624.0,6349101,6738601,7046.5414858491085,5910809.0,41777.0,694798000.0,30455.0,254865.0,
655,Texas,2004,4267330.0,36055119,38150452,7711.35219407731,22394022.999999996,45691.0,,30551.0,1007982.0,
656,Utah,2004,487311.0,2997200,3066684,5426.65957959854,2401580.0,40089.0,145005000.0,26891.0,95961.0,
657,Vermont,2004,93705.0,1525776,1550157,11675.380748213502,619920.0,41165.0,62228000.0,34045.0,13985.0,
658,Virginia,2004,1191035.0,11151172,11404055,8760.583417527529,7475575.0,50400.0,422119000.0,38066.0,197034.0,
659,Washington,2004,1020990.0,8790531,9009980,8051.17803437508,6178645.0,49407.0,,36660.0,298447.0,
660,West Virginia,2004,280561.0,2585084,2603996,9076.445681341558,1816437.9999999998,32862.0,181515000.0,25595.0,42170.0,
661,Wisconsin,2004,874233.0,9183588,9126345,9833.87371441978,5514026.0,44455.0,681990000.0,33246.0,145068.0,
662,Wyoming,2004,86925.0,974888,953916,10350.5572903423,509106.0,55848.0,,34974.0,16566.0,
663,Alabama,2005,729342.0,5889966,5904664,7308.93468046443,4569805.0,37578.0,397308000.0,29802.0,144264.0,
664,Alaska,2005,132568.0,1599739,1751718,11851.114774977601,666946.0,61125.0,588694000.0,38876.0,23460.0,
665,Arizona,2005,919875.0,7550109,7136794,7217.713877188359,5839076.999999999,43018.0,701859000.0,32288.0,275749.0,
666,Arkansas,2005,461667.0,3978240,3999608,8243.27448464989,2781097.0,35649.0,277311000.0,27952.0,107989.0,
667,California,2005,6307022.0,62171797,66196072,7988.5443668526905,35827943.0,53320.0,8670065000.0,39521.0,1195379.0,
668,Colorado,2005,765388.0,6910296,7284280,8557.556434470409,4631888.0,51473.0,315834000.0,38025.0,182537.0,
669,Connecticut,2005,552512.0,7898694,7452057,12655.3607005101,3506955.9999999995,66032.0,574984000.0,50226.0,83395.0,
670,Delaware,2005,112562.0,1431710,1480157,11770.208111021499,845150.0,67525.0,248869000.0,39469.0,26599.0,
671,District of Columbia,2005,62306.0,1109605,1085658,15074.063106316298,,163100.0,,,,
672,Florida,2005,2645280.0,23216404,23857012,7730.5644651554,17842038.0,43326.0,1785213000.0,36268.0,710810.0,
673,Georgia,2005,1552758.0,14724731,14492666,8576.90226915039,8925921.999999998,47610.0,712310000.0,33266.0,347383.0,
674,Hawaii,2005,183185.0,2274166,1765805,9704.61430295893,1292729.0,50145.0,124125000.0,36528.0,51727.0,
675,Idaho,2005,253782.0,1796035,1819519,6698.18829835672,1428241.0,35895.0,140585000.0,29311.0,38200.0,
676,Illinois,2005,2072437.0,21611180,22035569,10020.3902610354,12609903.0,51237.0,2183066000.0,37648.0,167883.0,
677,Indiana,2005,1014528.0,11653165,11071431,9639.651532789241,6278616.0,42826.0,824802000.0,31077.0,195361.0,
678,Iowa,2005,478319.0,4638125,4599549,8341.08976057859,2964454.0,45554.0,186469000.0,32609.0,82986.0,
679,Kansas,2005,468481.0,4223632,4076597,9036.59660473199,2745299.0000000005,41736.0,248085000.0,32268.0,98343.0,
680,Kentucky,2005,674502.0,5444309,5750671,8378.75838817508,4182742.0,38205.0,478505000.0,29013.0,94308.0,
681,Louisiana,2005,717625.0,5975074,5941561,8287.75190007132,4576628.0,47004.0,352136000.0,29422.0,146088.0,
682,Maine,2005,198745.0,2324789,2325138,11152.690135268502,1318787.0,38961.0,135863000.0,32669.0,31651.0,
683,Maryland,2005,865561.0,9906219,9782665,10789.8957966735,5592379.0,51960.0,807054000.0,43302.0,198474.0,
684,Massachusetts,2005,955225.0,12976279,12726283,12208.3124133379,6403290.0,58776.0,1332796000.0,44842.0,146847.0,
685,Michigan,2005,1721351.0,19106382,20489512,10327.7309598509,10051136.999999998,42919.0,1907190000.0,32813.0,308250.0,
686,Minnesota,2005,814660.0,8777363,9082593,9272.84499095584,5119598.0,52246.0,933896000.0,37775.0,156024.0,
687,Mississippi,2005,494382.0,3639643,3610904,6993.91068656536,2905942.9999999995,30813.0,283231000.0,26574.0,75061.0,
688,Missouri,2005,902659.0,8340865,8170965,8359.87546556631,5790300.0,42806.0,218229000.0,32430.0,226720.0,
689,Montana,2005,146552.0,1293070,1268328,9108.39755568787,940102.0,36120.0,98214000.0,29765.0,26997.0,
690,Nebraska,2005,284553.0,2895640,2708776,9638.176795474159,1761497.0,46062.0,198380000.0,34130.0,58206.0,
691,Nevada,2005,399727.0,3381646,3483540,7198.2149259888,2432143.0,54790.0,,38637.0,102289.0,
692,New Hampshire,2005,202223.0,2332695,2333264,10043.3521431908,1298492.0,48357.0,476489000.0,40922.0,20832.0,
693,New Jersey,2005,1368959.0,23026334,23023365,14666.135769440702,8651974.0,56768.0,2224633000.0,45354.0,203393.0,
694,New Mexico,2005,326102.0,2982991,3011696,7932.5261981207705,1932274.0,41193.0,242462000.0,28755.0,74932.0,
695,New York,2005,2816426.0,43936450,45086872,15054.332214076201,,58502.0,,,400551.0,
696,North Carolina,2005,1347177.0,11098165,10917913,7627.74479543121,8705407.0,45042.0,1271985000.0,32238.0,343559.0,
697,North Dakota,2005,100413.0,969520,985502,8775.8952047499,646089.0,41272.0,75836000.0,31521.0,12064.0,
698,Ohio,2005,1778784.0,19746239,19785561,9983.83652677478,11463320.0,44684.0,1327484000.0,32523.0,366970.0,
699,Oklahoma,2005,629145.0,4892548,4785987,7086.35668133545,3548597.0,37662.0,168890000.0,31062.0,143285.0,
700,Oregon,2005,550502.0,5022050,5597579,8799.236596939041,3613202.0,42558.0,365347000.0,32421.0,158772.0,
701,Pennsylvania,2005,1755560.0,22657782,23183924,11014.3364726174,12449990.0,45035.0,1703295000.0,36247.0,279129.0,
702,Rhode Island,2005,153596.0,1903472,1790591,12685.2378229667,1067916.0000000002,47176.0,113326000.0,36927.0,29118.0,
703,South Carolina,2005,701176.0,6337711,6572191,8301.803867489649,4270150.0,37397.0,246935000.0,28958.0,184827.0,
704,South Dakota,2005,124862.0,1053504,1059303,7959.8666064543,775493.0,42762.0,49142000.0,33772.0,12556.0,
705,Tennessee,2005,940769.0,6806262,7067521,7425.959515233341,5991057.0,41868.0,805601000.0,31439.0,254836.0,
706,Texas,2005,4334611.0,37783715,40302144,7814.13272719884,22778123.0,45966.0,,32793.0,989699.0,
707,Utah,2005,488055.0,3181279,3188018,5653.82604138644,2457719.0,41657.0,188845000.0,28759.0,95002.0,
708,Vermont,2005,92819.0,1628681,1634534,12578.8205495257,621215.0,41588.0,68962000.0,34668.0,13895.0,
709,Virginia,2005,1203697.0,12182657,12385157,9441.16084830697,7577105.0,52305.0,605959000.0,40319.0,198429.0,
710,Washington,2005,1019925.0,9141383,9399603,8362.36859009092,6257305.0,51956.0,,37759.0,306271.0,
711,West Virginia,2005,279456.0,2701056,2698703,9320.77746066513,1820492.0000000002,33628.0,463249000.0,26593.0,44233.0,
712,Wisconsin,2005,869301.0,9584108,9433502,10140.980295957399,5546166.0,45131.0,782742000.0,34173.0,144299.0,
713,Wyoming,2005,84146.0,1132160,1033603,11086.8636457022,514156.99999999994,57642.0,,38232.0,15814.0,
714,Alabama,2006,743265.0,6364028,6591429,7979.6976450475095,4628981.0,37735.0,558768000.0,31315.0,140765.0,
715,Alaska,2006,132893.0,1625138,1817656,12537.0436931399,675302.0,64349.0,821664000.0,40845.0,23100.0,
716,Arizona,2006,947266.0,8084068,7934177,7636.953966259771,6029141.0,44086.0,890004000.0,34705.0,259872.0,
717,Arkansas,2006,472609.0,4247664,4343877,8748.45720665873,2821761.0,35803.0,368523000.0,29308.0,107692.0,
718,California,2006,6295994.0,66302860,68722432,8416.10182083925,36021202.00000001,54842.0,10316467000.0,42334.0,1155956.0,
719,Colorado,2006,778842.0,7295561,7803324,8938.25095722522,4720423.0,51515.0,457673000.0,40143.0,159794.0,
720,Connecticut,2006,549744.0,8436197,7982143,13461.166452671201,3517460.0,67458.0,634990000.0,54191.0,81452.0,
