,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
84,North Carolina,1993,1112636.0,5583166,5475174,4762.892806399999,6947411.999999999,,710658000.0,19967.0,338018.0,
85,North Dakota,1993,118793.0,580148,588983,4597.2497347,637229.0,,54174000.0,18033.0,16939.0,
86,Ohio,1993,1834239.0,10841606,10385253,5754.2623563,11070385.0,,677183000.0,20740.0,357115.0,
87,Oklahoma,1993,312817.0,1436505,1428916,4355.4992563000005,3228829.0,,142023000.0,17872.0,150411.0,
88,Oregon,1993,509814.0,3141217,3149126,6296.0281055,3034490.0,,205031000.0,20364.0,157802.0,
89,Pennsylvania,1993,1719829.0,12269422,12809067,6889.7042941,12022128.0,,1469962000.0,21951.0,319727.0,
90,Rhode Island,1993,138939.0,919594,901540,6938.121326100001,997852.0,,69846000.0,21975.0,40973.0,
91,South Carolina,1993,631613.0,3031112,2994038,4623.795427800001,3634507.0,,176339000.0,17880.0,178397.0,
92,South Dakota,1993,107050.0,465650,481665,4357.2545778,716258.0,,28142000.0,18813.0,17263.0,
93,Tennessee,1993,844668.0,3268642,3286481,3993.1803787,5085666.0,,365323000.0,19530.0,202144.0,
94,Texas,1993,3535333.0,20267205,18574871,4670.120803600001,17996764.0,,,19535.0,1023226.0,
95,Utah,1993,462323.0,1638305,1665011,3180.1739448000003,1875993.0,,83936000.0,17021.0,89741.0,
96,Vermont,1993,97454.0,837540,809853,6410.7962256,574004.0,,32572000.0,19971.0,11905.0,
97,Virginia,1993,1032842.0,5918536,5955333,4979.827672300001,6464795.0,,365340000.0,23247.0,242975.0,
98,Washington,1993,896197.0,5270961,5791436,5613.564929,5247704.000000001,,,22745.0,279576.0,
99,West Virginia,1993,317719.0,1832154,1829848,5526.8329379,1816178.9999999998,,179009000.0,16726.0,42245.0,
100,Wisconsin,1993,829085.0,5357945,5640718,6475.436135600001,5055318.0,,492015000.0,20933.0,190445.0,
