state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,income_per_capita,known_property_crimes,unemployment_rate
Nebraska,2000,287566.0,2263952,152143,812998,1298811,2165529,1188826,570910,94639.0,243866,261767.0,20983.0,0.7996812054562029,0.237,13.639565362436302,20149.0,7359.59848644023,0.16699999999999998,1713820.0,41761,28890,62336.0,0.028333333333333332
Nevada,2000,325610.0,2252416,110210,1378678,763528,2437438,1114489,695694,69965.0,428541,305067.0,18293.1,0.6670086907765629,0.182,18.6248366870569,14551.0,6147.72036306779,0.16899999999999998,2018741.0,49607,31903,74823.0,0.04166666666666667
New Hampshire,2000,203178.0,1586869,54657,865318,666894,1640395,902062,445733,49746.0,130011,200283.0,14341.0,0.7776633170712741,0.287,14.5360156195523,11829.0,7082.49456019732,0.287,1239882.0,44460,35460,16151.0,0.026750000000000003
New Jersey,2000,1279542.0,15651060,578978,6093162,8978920,15907248,8244717,5041897,568802.0,1320024,1222438.0,99061.0,0.7632907060972299,0.298,13.258547763499301,74420.0,10902.51189999,0.225,8430621.0,53701,39411,233637.0,0.037000000000000005
New Mexico,2000,324489.0,2191695,296222,1571088,324385,2165031,1048533,727644,101479.0,255735,323963.0,21042.4,0.705026687118301,0.235,15.2219328593697,18031.0,5834.846618286661,0.276,1821204.0,37773,22973,78964.0,0.04924999999999999
New York,2000,2861478.0,31906526,1938590,13766358,16201578,33683043,19856637,8377510,1057876.0,3266115,2595070.0,206961.0,0.7605024634460971,0.274,13.9262373104111,141731.0,10956.6371134497,0.208,19001780.0,53827,35924,427466.0,0.045250000000000005
North Carolina,2000,1261586.0,9064700,622184,5897936,2544580,9275837,4854623,2356589,479183.0,1385226,1185737.0,83680.0,0.7419584050722859,0.225,15.459345124282999,62140.0,6505.06213688196,0.236,8081614.000000001,42193,27373,343174.0,0.036833333333333336
North Dakota,2000,112349.0,812982,96940,303132,412910,802768,402602,204117,55808.0,81274,105123.0,8141.0,0.844147092799384,0.22,13.4137083896327,8606.0,6078.077823121489,0.173,642023.0,35067,26004,13522.0,0.029583333333333336
Ohio,2000,1822566.0,15327834,843432,6425872,8058530,14909952,7497388,4889221,725617.0,1378528,1659903.0,118361.0,0.7681174787623108,0.211,15.503831498551,111668.0,7816.4656723917,0.182,11363543.0,42678,28509,329209.0,0.04
Oklahoma,2000,627032.0,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753.0,286261,586266.0,41318.0,0.7482650601735079,0.203,15.080836439324301,37646.0,5769.704327046079,0.237,3454365.0,34015,23983,140125.0,0.03041666666666666
Oregon,2000,542739.0,4369400,268568,2457202,1643630,4398318,2288931,1433944,148604.0,391189,479321.0,28094.0,0.742060705667354,0.251,19.4429771481455,30151.0,8128.76411840917,0.14800000000000002,3429708.0,38193,28596,151933.0,0.051083333333333335
Pennsylvania,2000,1782444.0,17090654,1022578,6163912,9904164,17861852,8818088,4887123,681741.0,1851099,1684913.0,116963.0,0.7976267177230509,0.224,15.5118370766824,113959.0,8380.32130739095,0.189,12284173.0,41857,30381,288257.0,0.041250000000000016
