state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
North Carolina,2000,1261586.0,9064700,622184,5897936,2544580,9275837,4854623,2356589,479183.0,1385226,1185737.0,83680.0,0.7419584050722859,0.225,15.459345124282999,62140.0,6505.06213688196,0.23600000000000002,8081614.000000001,42193,1197162000.0,27373,343174.0,0.036833333333333336
North Dakota,2000,112349.0,812982,96940,303132,412910,802768,402602,204117,55808.0,81274,105123.0,8141.0,0.844147092799384,0.22,13.4137083896327,8606.0,6078.077823121489,0.17300000000000001,642023.0,35067,78221000.0,26004,13522.0,0.029583333333333336
Ohio,2000,1822566.0,15327834,843432,6425872,8058530,14909952,7497388,4889221,725617.0,1378528,1659903.0,118361.0,0.768117478762311,0.21100000000000002,15.503831498551,111668.0,7816.4656723917005,0.182,11363543.0,42678,630607000.0,28509,329209.0,0.039999999999999994
Oklahoma,2000,627032.0,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753.0,286261,586266.0,41318.0,0.7482650601735079,0.203,15.080836439324301,37646.0,5769.704327046079,0.237,3454365.0,34015,194145000.0,23983,140125.0,0.030416666666666665
Oregon,2000,542739.0,4369400,268568,2457202,1643630,4398318,2288931,1433944,148604.0,391189,479321.0,28094.0,0.742060705667354,0.251,19.4429771481455,30151.0,8128.76411840917,0.14800000000000002,3429708.0,38193,407084000.0,28596,151933.0,0.05108333333333334
Pennsylvania,2000,1782444.0,17090654,1022578,6163912,9904164,17861852,8818088,4887123,681741.0,1851099,1684913.0,116963.0,0.7976267177230509,0.22399999999999998,15.5118370766824,113959.0,8380.32130739095,0.18899999999999997,12284173.0,41857,1696845000.0,30381,288257.0,0.04125000000000001
Rhode Island,2000,155351.0,1464820,81655,610999,772166,1388454,845667,421472,57496.0,30587,144422.0,10644.5,0.8128147443922551,0.256,14.782000093945198,8477.0,9646.33230394261,0.161,1050268.0,41395,74825000.0,30284,33323.0,0.04075000000000001
South Carolina,2000,666780.0,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840.0,716110,624456.0,45380.0,0.7425321140599,0.204,14.927523137946201,31617.0,6545.46534903981,0.214,4024223.0,36070,227161000.0,24921,178319.0,0.038000000000000006
South Dakota,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296,122252.0,9397.3,0.782095963168251,0.215,13.685101039660301,9278.0,6036.694049995091,0.13699999999999998,755843.9999999999,35601,45123000.0,26808,14808.0,0.024583333333333336
Tennessee,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326,844878.0,57164.0,0.7512807999722179,0.196,15.9044328598419,41568.0,5837.213886501961,0.184,5703719.0,38892,613924000.0,27154,237893.0,0.03866666666666666
Texas,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976,3706550.0,274826.0,0.6864719064543761,0.23199999999999998,14.771597301565402,212925.0,6771.44588363842,0.295,20944499.0,44432,,28145,915304.0,0.04275
Utah,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172,448096.0,22008.0,0.8031377376384059,0.261,21.8777262813522,32501.0,4692.4200037492,0.26899999999999996,2244502.0,38695,173799000.0,24138,87056.0,0.0335
Vermont,2000,99609.0,1211370,65052,711259,435059,1193813,555740,283821,29595.0,39112,98894.0,8414.0,0.830214818062253,0.294,12.128476348942199,6675.0,8799.29911824782,0.205,609618.0,36622,44430000.0,28904,16129.0,0.027999999999999994
