"location","indicator","Unit","Date","Value"
"Florida","Number of Property Crimes Known to Police","numbers","2016","210730"
"Georgia","Number of Property Crimes Known to Police","numbers","1990","370236"
"Georgia","Number of Property Crimes Known to Police","numbers","1991","363419"
"Georgia","Number of Property Crimes Known to Police","numbers","1992","366025"
"Georgia","Number of Property Crimes Known to Police","numbers","1993","358189"
"Georgia","Number of Property Crimes Known to Police","numbers","1994","358983"
"Georgia","Number of Property Crimes Known to Police","numbers","1995","368345"
"Georgia","Number of Property Crimes Known to Police","numbers","1996","400289"
"Georgia","Number of Property Crimes Known to Police","numbers","1997","364142"
"Georgia","Number of Property Crimes Known to Police","numbers","1998","360222"
"Georgia","Number of Property Crimes Known to Police","numbers","1999","344992"
"Georgia","Number of Property Crimes Known to Police","numbers","2000","325603"
"Georgia","Number of Property Crimes Known to Police","numbers","2001","331495"
"Georgia","Number of Property Crimes Known to Police","numbers","2002","333027"
"Georgia","Number of Property Crimes Known to Police","numbers","2003","346274"
"Georgia","Number of Property Crimes Known to Police","numbers","2004","337563"
"Georgia","Number of Property Crimes Known to Police","numbers","2005","347383"
"Georgia","Number of Property Crimes Known to Police","numbers","2006","329729"
"Georgia","Number of Property Crimes Known to Police","numbers","2007","353731"
"Georgia","Number of Property Crimes Known to Police","numbers","2008","373176"
"Georgia","Number of Property Crimes Known to Police","numbers","2009","360985"
"Georgia","Number of Property Crimes Known to Police","numbers","2010","353449"
"Georgia","Number of Property Crimes Known to Police","numbers","2011","357235"
"Georgia","Number of Property Crimes Known to Police","numbers","2012","339473"
"Georgia","Number of Property Crimes Known to Police","numbers","2013","339808"
"Georgia","Number of Property Crimes Known to Police","numbers","2014","331316"
"Georgia","Number of Property Crimes Known to Police","numbers","2015","124515"
"Georgia","Number of Property Crimes Known to Police","numbers","2016","141438"
"Hawaii","Number of Property Crimes Known to Police","numbers","1990","64563"
"Hawaii","Number of Property Crimes Known to Police","numbers","1991","65020"
"Hawaii","Number of Property Crimes Known to Police","numbers","1992","67901"
"Hawaii","Number of Property Crimes Known to Police","numbers","1993","70505"
"Hawaii","Number of Property Crimes Known to Police","numbers","1994","75672"
"Hawaii","Number of Property Crimes Known to Police","numbers","1995","81938"
"Hawaii","Number of Property Crimes Known to Police","numbers","1996","74639"
"Hawaii","Number of Property Crimes Known to Police","numbers","1997","68193"
"Hawaii","Number of Property Crimes Known to Police","numbers","1998","60677"
"Hawaii","Number of Property Crimes Known to Police","numbers","1999","54539"
"Hawaii","Number of Property Crimes Known to Police","numbers","2000","60033"
"Hawaii","Number of Property Crimes Known to Police","numbers","2001","62830"
"Hawaii","Number of Property Crimes Known to Police","numbers","2002","71976"
"Hawaii","Number of Property Crimes Known to Police","numbers","2003","65867"
"Hawaii","Number of Property Crimes Known to Police","numbers","2004","60391"
"Hawaii","Number of Property Crimes Known to Police","numbers","2005","51727"
"Hawaii","Number of Property Crimes Known to Police","numbers","2006","52165"
"Hawaii","Number of Property Crimes Known to Police","numbers","2007","52866"
"Hawaii","Number of Property Crimes Known to Police","numbers","2008","45944"
"Hawaii","Number of Property Crimes Known to Police","numbers","2009","47516"
