"region","series","Unit","Date","Value"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","205700"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","224275"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","271143"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","301043"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","334980"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","340039"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","205217"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","199853"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","239591"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","315834"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","457673"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","479445"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","507986"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","329545"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","360003"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","383513"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","492224"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","652180"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","717506"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","673230"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","626109"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","593720"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","713381"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","701942"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","698918"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","641389"
