"classification","state","component","industry","Unit","Date","Value"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","42225"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","40883"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","41907"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","42581"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","42384"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","42919"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","42206"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","41925"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","39863"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","36676"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","38763"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","39757"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","40463"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","40993"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","41566"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","42778"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","43665"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","42631"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","44204"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","45258"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","47577"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","47177"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","47944"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","49769"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","51256"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","52246"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","51598"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","51351"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","51234"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","48884"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","50148"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","50875"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","51272"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","51999"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","53105"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","53634"
"NAICS","Minnesota","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","54414"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","39677"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","40292"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","41051"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","41920"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","41346"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","41421"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","42043"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","42643"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","42806"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","42792"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","42561"
"NAICS","Missouri","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","43118"
